欄位分類,欄位ID,欄位名稱,簡稱,單位,副欄位ID,副單位,顯示規則(大表),顯示規則(條列),Tooltip
利潤統計,TotalTransactionCost,總交易成本,,%,TotalTransactionCost_Amount,$,"雙列：%在上，$在下，等比時改為單列顯示%
排序：% → $
等比不顯示$，改為單列",等比$顯示空白,每筆交易的單筆手續費加總
績效指標,SharpeRatio,夏普比率,,,,,,,衡量每單位風險所獲得的超額報酬
績效指標,SortinoRatio,索提諾比率,,,,,,,衡量每單位下行風險所獲得的超額報酬
績效指標,RiskReturnRatio,風報比,,,,,,,報酬率/ABS(最大區間虧損)
績效指標,ProfitFactor,獲利因子,,,,,,,毛利/ABS(毛損)×SIGN(淨利)；ABS為絕對值；SIGN為數值的正負號
績效指標,Alpha,超額報酬,,%,,,報酬率：正紅字、負綠字,報酬率：正紅字、負綠字,實際報酬率與根據資本資產定價模型(CAPM)計算出的預期報酬率之間的差異
績效指標,Beta,貝他,,,,,,,衡量資產相對於市場波動性的指標，用來評估資產的系統性風險
績效指標,StandardDeviation,標準差,,,,,,,衡量報酬率波動程度，反映報酬率偏離平均值的分散情況
最大統計,MaxInvestAmount,最大投入金額,,$,,,等比不顯示此欄位,等比$顯示空白,最大投入市場的資金總額
最大統計,MaxRunUp,最大區間獲利,,%,MaxRunUp_Amount,$,"雙列：%在上，$在下，等比時改為單列顯示%
報酬率：正紅字、負綠字
排序：% → $
等比不顯示$，改為單列","等比$顯示空白
報酬率：正紅字、負綠字",列出報酬率曲線中，每一段自低點上漲區間的累積報酬率變化，取最大值
最大統計,MaxDrawdown,最大區間虧損,,%,MaxDrawdown_Amount,$,"雙列：%在上，$在下，等比時改為單列顯示%
報酬率：正紅字、負綠字
排序：% → $
等比不顯示$，改為單列","等比$顯示空白
報酬率：正紅字、負綠字",列出報酬率曲線中，每一段自高點回落區間的累積報酬率變化，取最小值
最大統計,LargestWinTrade,最大獲利交易,,%,LargestWinTrade_Amount,$,"雙列：%在上，$在下，等比時改為單列顯示%
報酬率：正紅字、負綠字
排序：% → $
等比不顯示$，改為單列","等比$顯示空白
報酬率：正紅字、負綠字",所有報酬率>0(賺錢)的交易中，報酬率最大(賺最多)就是最大獲利交易
最大統計,LargestLosingTrade,最大虧損交易,,%,LargestLosingTrade_Amount,$,"雙列：%在上，$在下，等比時改為單列顯示%
報酬率：正紅字、負綠字
排序：% → $
等比不顯示$，改為單列","等比$顯示空白
報酬率：正紅字、負綠字",所有報酬率<0(賠錢)的交易中，報酬率最小(賠最多)就是最大虧損交易
最大統計,MaxConsecutiveProfit,最大連續獲利,,%,MaxConsecutiveProfit_Amount,$,"雙列：%在上，$在下，等比時改為單列顯示%
報酬率：正紅字、負綠字
排序：% → $
等比不顯示$，改為單列","等比$顯示空白
報酬率：正紅字、負綠字",每次單筆報酬率由負轉正後的連續獲利報酬率加總，取最大值
最大統計,MaxConsecutiveLoss,最大連續虧損,,%,MaxConsecutiveLoss_Amount,$,"雙列：%在上，$在下，等比時改為單列顯示%
報酬率：正紅字、負綠字
排序：% → $
等比不顯示$，改為單列","等比$顯示空白
報酬率：正紅字、負綠字",每次淨利變化由正轉負後的連續虧損最大值，也就是連續虧損加總的最大值
創高統計,DaysOfNewHighs,創新高天數,,天,,,,,報酬率創新高的天數
創高統計,DaysWithoutNewHighs,未創新高天數,,天,,,,,最近一期報酬率未創新高天數
創高統計,MaximumDaysWithoutNewHighs,最大未創新高天數,,天,,,,,所有報酬率未創新高的區間天數的最大值
創高統計,AverageDaysWithoutNewHighs,平均未創新高天數,,天,,,,,所有報酬率未創新高的區間天數的平均值
交易頻率,TotalTradeCount,總交易次數,,次,,,,,回測內所產生的所有交易次數加總
交易頻率,NumberWinningTrades,獲利交易次數,,次,,,,,獲利交易次數加總
交易頻率,NumberLosingTrades,虧損交易次數,,次,,,,,虧損交易次數加總
交易頻率,AnnualTradeCount,年均交易數,,次,,,,,每年平均會發生交易的次數
交易頻率,MaximumConsecutiveGains,最大連續獲利次數,,次,,,,,單一商品連續獲利的交易筆數
交易頻率,MaximumConsecutiveLosses,最大連續虧損次數,,次,,,,,單一商品連續虧損的交易筆數
交易表現,SumOfIndividualReturns,每筆報酬加總,,%,,,報酬率：正紅字、負綠字,報酬率：正紅字、負綠字,每次交易的報酬率加總
交易表現,AvgOfIndividualReturns,平均單筆報酬,,%,,,報酬率：正紅字、負綠字,報酬率：正紅字、負綠字,每次交易的平均報酬率
交易表現,AvgTrade,平均交易,,%,AvgTrade_Amount,$,"雙列：%在上，$在下，等比時改為單列顯示%
報酬率：正紅字、負綠字
排序：% → $
等比不顯示$，改為單列","等比$顯示空白
報酬率：正紅字、負綠字",淨利/交易次數
交易表現,AvgWinTrade,平均獲利交易,,%,AvgWinTrade_Amount,$,"雙列：%在上，$在下，等比時改為單列顯示%
報酬率：正紅字、負綠字
排序：% → $
等比不顯示$，改為單列","等比$顯示空白
報酬率：正紅字、負綠字",毛利/獲利交易次數
交易表現,AvgLossTrade,平均虧損交易,,%,AvgLossTrade_Amount,$,"雙列：%在上，$在下，等比時改為單列顯示%
報酬率：正紅字、負綠字
排序：% → $
等比不顯示$，改為單列","等比$顯示空白
報酬率：正紅字、負綠字",毛損/虧損交易次數
交易表現,RatioAvgWinAvgLoss,平均獲利虧損比,,,,,,,ABS(平均獲利交易/平均虧損交易)；ABS為絕對值
時間統計,BarsInBackTesting,回測K線根數,,根,,,,,回測期間的K線根數
時間統計,ActualTradingDays,實際發生交易天數,實際交易天數,天,,,,,實際發生交易天數。統計回測期間總共有多少天有交易
時間統計,PercentageOfTradingDays,交易天數佔回測區間比例,交易日佔比,%,,,,,交易天數佔回測區間比例。實際發生的交易天數佔回測期間可交易日的百分比
時間統計,AvgBarsInTrades,全部交易的平均持倉K線根數,全交易平均持倉,根,,,,,全部交易的平均持倉K線根數
時間統計,AvgBarsInWinningTrades,獲利交易的平均持倉K線根數,獲利平均持倉,根,,,,,獲利交易的平均持倉K線根數
時間統計,AvgBarsInLosingTrades,虧損交易的平均持倉K線根數,虧損平均持倉,根,,,,,虧損交易的平均持倉K線根數
